Tweet,id,date,source,likes,retweets,sentiment
remember when jon went to washington dc do u think he had to take metro,1203455902298230784,2019-12-07 23:27:00,Twitter for iPhone,5,0,0.0
Digs through purse for my DC metro card.... finds Madrid metro card..... London Underground card.... Paris metro card... no DC card though. 🙃🙃 why am i like this😂😂,1203455514031656966,2019-12-07 23:25:28,Twitter for iPhone,0,0,0.0
@schlthss What we would give for the quiet purr of the DC Metro! Just don’t take the green line through Boylston/Govt Center without earplugs,1203454890187591681,2019-12-07 23:22:59,Twitter for iPhone,0,0,-0.10000000000000002
Taking my parents who remember DC before the metro is rich. The ideas that the Orange Line exists and that people want to go to Navy Yard blows their minds.,1203446827229597702,2019-12-07 22:50:57,Twitter for Android,2,0,0.375
"Metro will have a public meeting for DC residents on Dec. 10 from 4:30- 7:30 pm at 800 21st Street NW // Marvin Center, Room 301. This meeting has been publicized with very little notice to the ANC  and I will be writing to request an additional meeting in Northeast DC.
2of2",1203446598623223809,2019-12-07 22:50:02,Twitter Web App,0,0,-0.0859375
Cali Metro trains look like the ones in DC,1203445432514273280,2019-12-07 22:45:24,Twitter for iPhone,0,0,0.0
"@_air_in I believe $480 or $520 or something like that, for a room in a 5 bedroom house (4 roommates) half a block from the metro in Washington DC in 2005.",1203445089852252160,2019-12-07 22:44:03,Twitter for Android,1,0,-0.16666666666666666
"I don’t think companies like Amazon need subsidies. (heck, @EurasiaGroup doesn’t get any, and we’re doing just fine) 

But let’s not pretend the decision to move HQ2 to DC was somehow a win for metro NYC.",1203440356521631749,2019-12-07 22:25:14,Twitter for iPhone,78,8,0.6083333333333334
"So tonight Skyler, Stephanie, Chris and I were going to Krampusnacht in DC. I didn't want to drive so I thought it would be fine to ride the metro.

Well, turns out none of us actually know how to read/understand the metro system.",1203439399826006017,2019-12-07 22:21:26,Twitter for Android,0,0,0.20833333333333334
"omg...I have service on the DC metro...

This is a sign that I need to move to DC.",1203427747126755330,2019-12-07 21:35:08,Twitter for iPhone,0,0,0.0
@timgats #moordstrookje in wording. Heb je al de afrit van de autostrade gezien richting overstapparking Ceria? Die kruist de uitgang van de metro waar ‘s morgens 100en kinderen en fietsers passeren!,1203422644353355776,2019-12-07 21:14:51,Twitter for iPhone,0,0,0.0
"Turk Evi/Turkish House
1526 18th St. NW
Washington, DC 20036

Metro: Dupont Circle (Red Line)

Tickets: $20 for members; $30 for non-members (appetizers and drinks included in the price)",1203421914695376897,2019-12-07 21:11:57,Twitter for iPhone,0,0,0.0
"""INSTANTLY RELATABLE, HEARTFELT, FUNNY.”
- Theatermania
  
""AFFECTING, MEANINGFUL, BEAUTIFUL!""
- DC Metro Arts 

""SHARP, ENJOYABLE PERFORMANCES. Director Karen Carpenter's energetic production crackles.”
 - Broadway World https://t.co/Eiljwd5cer",1203421647388233729,2019-12-07 21:10:53,Twitter for iPhone,0,0,0.309375
@_air_in $1100/mo for a 2 bedroom/2 bath one block from the Columbia Heights metro in DC before gentrification (2004-2005),1203414881371926534,2019-12-07 20:44:00,Twitter for iPhone,0,0,0.0
Shooting near Chinatown metro around 10:45pm Last Night https://t.co/73Zj9czgin,1203414773947236352,2019-12-07 20:43:35,Twitter Web Client,0,0,0.05
#DC #DCcommuters -- it's now easier to call &amp; tell a loved one that you'll be late because Metro is single-tracking trains the whole way from Branch Ave. to Greenbelt. https://t.co/qMXRbhs9hm  #wmata,1203414642095247361,2019-12-07 20:43:03,Twitter Web Client,0,0,0.13214285714285712
"And here's another great thread from @GretchSchreiber, with this absolute gem of a tweet that made me shriek on the DC metro and scare my fellow passengers.
https://t.co/QXFC5rzkq3",1203399440192684032,2019-12-07 19:42:39,Twitter for Android,1,0,0.5
@Dr_Misiedjan @MaryHeglar @JordanPeele Omg yes! It’s like DuPonts metro station escalators in DC. They are huge and scary when they are not working and have to climb them!,1203398155045228544,2019-12-07 19:37:32,Twitter for iPhone,1,0,-0.04999999999999996
@annika_f11 It’s always painfully obvious when they don’t film in DC. Particularly if the show has any scene in a metro station.,1203387947816370176,2019-12-07 18:56:59,Twitter for iPhone,0,0,0.08333333333333333
"@mayewj9 It's MLS, so they'll probably do something retarded  like 6 conferences. Let's just have a southeast with Charlotte, Atlanta, Orlando, Miami, Nashville. Metro with DC, Philly, NE, NJRB and NYCFC.",1203385182935486467,2019-12-07 18:46:00,Twitter for Android,0,0,-0.8
@RadioFreeTom Where can I get one of these? I need one of the DC Metro for my son!,1203384666750881793,2019-12-07 18:43:57,Twitter for iPhone,0,0,0.0
Why can’t all public transit be as easy as the Metro in DC? @ L'Enfant Plaza Metro https://t.co/TG0PSzIyt1,1203381342307831808,2019-12-07 18:30:44,Instagram,0,0,0.21666666666666667
"@Bogota__DC @EnriquePenalosa Si eso es cierto felicitaciones y también deja firmado el contrato de construcción del metro,  ufff al fin",1203381307495059462,2019-12-07 18:30:36,Twitter Web App,0,0,0.0
"@Bogota__DC @EnriquePenalosa Y la inseguridad disparada, la séptima destapada desde hace mucho tiempo, puso en marcha el peor metro que puede tener Bogotá, más buses de TM viejos, en fin.",1203379544918577152,2019-12-07 18:23:35,Twitter for Android,0,0,0.0
The escalators on the DC Metro System are really something else,1203375020422189056,2019-12-07 18:05:37,Twitter for Android,1,0,0.2
"And I will say having taken public transport day in day out in London, DC and Paris that Dublin is the exception. I’ve seen male passengers stop a bus in DC and demand a man being abusive get off. I’ve witnessed men on Paris &amp; DC metro intervene similarly",1203368806317481984,2019-12-07 17:40:55,Twitter for iPhone,0,0,0.0
"@Bogota__DC @EnriquePenalosa También deja la séptima destruida, en 4 años no pudieron pegar sus adoquines, enhuesada con el contrato de metro aéreo, calles intransitables por la cantidad de huecos e inseguridad desbordada. 

Gracias por nada Dr. Falsificador de doctorados.",1203362745531424770,2019-12-07 17:16:50,Twitter for Android,3,0,0.0
"@Bogota__DC @EnriquePenalosa Muy buena la gestión del petardo ese, en unos años veremos investigaciones por corrupción y sobre todo en el metro, guarden este twit",1203362659913158656,2019-12-07 17:16:30,Twitter for Android,0,0,0.0
Why does @drewisgooden have a DC metro map in the background of one of his videos??,1203361256075341824,2019-12-07 17:10:55,Twitter for iPhone,1,0,0.0
@RadioFreeTom Nice! Wonder if theres a dc metro lampshade🤨 love Carla’s portrait,1203360221973942273,2019-12-07 17:06:48,Twitter for iPhone,0,0,0.55
"En alcaldía de @EnriquePenalosa la jornada única pasó del 4 al 17%, brecha de calidad entre colegios públicos y privados pasó del 17 al 10%. Deja en marcha 2500 obras, 70% en estratos 1, 2 y 3 y deja contratado el metro de Bogotá proyecto frustrado por 77 años. #FelizSabado",1203358802948562944,2019-12-07 17:01:10,Twitter for Android,25,5,0.0
"Should anyone want to see Amadeus at the Folger in DC, I recommend parking near Metro Center, and taking the metro to Capitol South (there's really no parking near the Folger theater.)
Eat at Burrito Brothers before the show. It is good. BUT - the burrito made my stomach rumble -",1203358792399937537,2019-12-07 17:01:08,Twitter Web App,0,0,0.13999999999999999
"I'm at Dupont Circle Metro Station - @wmata in Washington, DC https://t.co/VjjdZW9Qmw",1203357657282822144,2019-12-07 16:56:37,Foursquare,0,0,0.0
@SeattleHoo @HudsonPvt See it in DC metro all the time.,1203355669660930048,2019-12-07 16:48:43,Twitter for Android,0,0,0.0
"Just left Gabriel and Shacey at the 2424 University Elite Metro store. For the last three months this store has had the top net promoter scores in Baltimore and DC. How? Gabriel says they focus on customers needs and work to meet the those needs. Love it!
⁦@JohnCShelton12⁩ https://t.co/hs7bHpG9CQ",1203355427112726528,2019-12-07 16:47:45,Twitter for iPhone,5,0,0.2
y’a des gens dans le métro ils ont dc races ça svoit ils font des tik tok bandes d’enfoirés,1203350477460643840,2019-12-07 16:28:05,Twitter for iPhone,0,1,0.0
"@Remember_Sarah When I went to DC for college (2005) someone told me not to become an intern, citing Monica Lewinsky and Chandra Levy as evidence.

 In 2007, I studied abroad in Brussels and my host mom gave me a butter knife to take on the metro because it was ""not safe after dark.""",1203349546962735104,2019-12-07 16:24:23,Twitter Web Client,32,1,-0.2
"Need help finding the perfect home for you? Click below or call (703) 837-4925.

Gina Baum
Associate Broker 
KW Metro Center
Licensed in DC, MD &amp; VA
703-338-1557 https://t.co/oiqV2dHXeS https://t.co/IbE4QK3yfK",1203348627370004480,2019-12-07 16:20:44,Back At You Media,0,0,0.45
@ACC_Culinary kicking off competition season this morning @ccapinc DC Metro Region Junior Preliminary Culinary Competition. Way to represent gentlemen! @APSCareerCenter @WHSHappenings @YorktownHS https://t.co/DmHOjOD4GV,1203347514189107202,2019-12-07 16:16:19,Twitter for iPhone,5,1,0.0
"@Bogota__DC @EnriquePenalosa No habrá sido el mejor alcalde que halla tenido Bogotá, se habrá negado a hacer un buen metro, se negó a dejar los buses de diesel y nos metió al trasmilenio hasta en la sopa.
Pero alguna que otra cosa buenas hizo.",1203346946913656835,2019-12-07 16:14:03,Twitter for Android,0,0,0.0
