Tweet,id,date,source,likes,retweets,sentiment
Pat Toomey defends Trump on impeachment: ‘Where is the crime?' https://t.co/PLpGoBvakE via @phillyinquirer,1203440021304422400,2019-12-07 22:23:54,Twitter Web Client,0,0,0.0
"@JoyceWhiteVance Trump is too stupid to organize a war, so is this the next best thing to distract the media from impeachment?",1203439995106856962,2019-12-07 22:23:48,Twitter for iPhone,0,0,0.0666666666666667
"@johuyik @realDonaldTrump And $110M+ went STRAIGHT into Trump's pockets from his golfing excursions. EMOLUMENTS. . . which, alone, are grounds for impeachment.",1203439987573673984,2019-12-07 22:23:46,Twitter Web App,0,0,0.2
@BillKristol All Trump is doing is showing the Dems that they are right to push forward on impeachment. Now if only 20 Republican Senators can see  the best way forward is to impeach. It is sad that they will stick together for party and not the constitution that they swore to uphold,1203439982163181568,2019-12-07 22:23:45,Twitter for iPhone,0,0,0.1964285714285714
@ChrisCuomo @BeckyBunzy @B52Malmet @HillBeverlyhill Well once again radical Republicans like McCarthy show they know nothing about what the impeachment is all about. Why has’t Trump administration released the 35 million could it have something todo with the javelin missiles?,1203439970888933377,2019-12-07 22:23:42,Twitter for iPad,0,0,0.0
“This is the Impeachment Hoax!,1203439963720863744,2019-12-07 22:23:40,NauseousAmerica,0,0,0.0
"#FakePOTUS
 #GuiltyCorruptPOTUS 

 @realDonaldTrump  @thehill: President Trump: ""The impeachment thing is a total hoax."" https://t.co/vLTdNHcx0J",1203439963444064258,2019-12-07 22:23:40,TweetCaster for Android,0,0,0.0
"“Put simply, if a President cheats in his effort at re-election, trusting the democratic process to serve as a check through that election is no remedy at all...That is what impeachment is for” https://t.co/JnR1Qe7f52",1203439931177230336,2019-12-07 22:23:33,Bitly,0,0,0.0
"@AdamSchiff @SpeakerPelosi
@realDonaldTrump
Well done Dems!  Thanks for boosting President Trump's support!  #lunaticleft #Trump
#Cult45

Devin Nunes on phone record release: 'We're definitely going to take legal action'

https://t.co/gupKjeYSx2",1203439901301248005,2019-12-07 22:23:25,Twitter for Android,0,0,0.125
"Hillary Clinton asks if Republicans will place Trump ""above the law"" https://t.co/FytqTE5fXm",1203439895118852096,2019-12-07 22:23:24,Twitter Web Client,0,0,0.0
"@sbg1 @LGsConscience No, other Congress people brought bills to the floor.  Green for example.  It’s factually correct.  What the Repubs are lying over is that Trump was breaking laws during the election and it’s completely reasonable that Trump should have faced the impeachment threat since day 1.",1203439886449008640,2019-12-07 22:23:22,Twitter for iPhone,0,0,0.020833333333333332
"President Trump on Saturday said his personal lawyer Rudy Giuliani wants to testify before congressional impeachment investigators about his most recent trip to Ukraine.
“He has not told me what he found, but I think he wants to go before Congress, I hear he has found plenty""",1203439870825435141,2019-12-07 22:23:18,Twitter for Android,0,0,0.18
"You idiots, he can’t defend himself bc he’s guilty as hell and dumber than a rock. https://t.co/VPIphgzKGf",1203439868182855680,2019-12-07 22:23:18,Twitter for iPhone,0,0,-0.65
@JoyceWhiteVance Trump's ability to excuse murder when it's related to the Saudis is revolting. Absolutely revolting. But this is a manifestation of his utter &amp; total amorality. He is a threat to all that is good &amp; decent because he values ONLY what pleases himself. His impeachment is mandatory.,1203439859723096064,2019-12-07 22:23:16,Twitter Web App,0,0,0.12708333333333333
"Bingo! “...maybe the revelation of Trump is that Republican politics was never value-driven at all. I mean, if values are anchored to rewards in that way, if they’re that fluid, are they really values? Maybe it’s just about power and the means thereto.” https://t.co/kr6cU3eK8M",1203439854119309312,2019-12-07 22:23:14,Twitter for iPhone,0,0,-0.0375
"@GOPChairwoman Democrats have jumped the shark, 
and can't stop swimming now.
Democrats are all in on impeachment, and all their crazy.
They never thought Trump would release the transcript, and they don't think the Senate will have a trial.
Delay, distract, and obstruct, is all they have left.",1203439849941786625,2019-12-07 22:23:13,Twitter Web App,0,0,-0.3
"Wait, what???

Demented Democrat Al Green says impeachment needed to deal with slavery.

Just when you think Democrats can't get any dumber🤪
https://t.co/VOAw1XDe6q https://t.co/JJP7wWIiBI",1203439844401262592,2019-12-07 22:23:12,Twitter Web App,1,0,-0.2
@WalshFreedom Weaponizing our intel community to spy on a duly elected President in order to subvert the Constitution's impeachment clause is just cause for Trump to use a phone that cannot be surveiled. Get over it Freeloader.,1203439833286361097,2019-12-07 22:23:09,Twitter Web App,0,0,0.0
"@SarahLongwell25 3/3

Pretty depressing to hear a family member over Thanksgiving (who supposedly ""doesn't even like Trump"") rapid fire right-wing talking points at me on impeachment:

Dems are just desperate
Biden did just as bad
They all do that
They've been trying to get him from the start",1203439823597363201,2019-12-07 22:23:07,Twitter Web App,0,0,-0.2728571428571428
🥴Here We Go... Democrat Al Green Says Trump Impeachment Needed to Deal with Slavery ...WTH? (Video) https://t.co/CYW6ll0irL via @gatewaypundit,1203439822670647298,2019-12-07 22:23:07,Twitter for iPhone,1,1,-0.2
"@RudyGiuliani We The People see Schiff as the true criminal in the farcial impeachment actions. @POTUS Trump should sue Schiff for Treasonous Actions for his fabrication of the transcript that media people got and use for their misconceptions. It is called a Coup Attempt. 
#DemocratsAreCorrupt",1203439812444917760,2019-12-07 22:23:04,Twitter for iPhone,0,0,-0.025000000000000022
https://t.co/aeIfEsoMoM HOUSE JUDICIARY REPORT ON IMPEACHMENT OF TRUMP. @realDonaldTrump @SpeakerPelosi @RepJerryNadler @RepAdamSchiff @RepMaxineWaters @WaysMeansCmte @OversightDems @HouseJudiciary OVERTURN OLC MEMO IT'S UNCONSTITUTIONAL. NO ONE IS ABOVE THE LAW PUBLIC CORRUPTION,1203439789401264128,2019-12-07 22:22:59,Twitter for Android,0,0,0.0
From Discover on Google https://t.co/KgqKUj4pOn,1203439779985182720,2019-12-07 22:22:57,Twitter for Android,0,0,0.0
"One Of America’s Largest Newspapers Drops Editorial Bomb On Trump By Endorsing Impeachment

https://t.co/Rt1YOsXvv2",1203439773320466439,2019-12-07 22:22:55,Twitter for Android,0,0,0.0
@TomFitton @realDonaldTrump More right wing conspiracy crap! Trump should put on his big boy pants &amp; bring his case to congress! Let others testify &amp; Trump should testify too! Impeachment is coming!,1203439765493731328,2019-12-07 22:22:53,Twitter for iPad,0,0,-0.0035714285714285865
Weaponizing our intel community to spy on a duly elected President in order to subvert the Constitution's impeachment clause is just cause for Trump to use a phone that cannot be surveiled. Get over it Freeloader. https://t.co/6cgdTZhKlh,1203439761865789442,2019-12-07 22:22:52,Twitter Web App,0,0,0.0
