Tweet,id,date,source,likes,retweets,sentiment
2019 Washington Nationals postseason rally towel quilt https://t.co/iNEHiS5lTz,1203445669069033472,2019-12-07 22:46:21,wonderland.fm,0,0,0.0
"@Crash9172 @Bize_Tx @molly_knight I will happily own up to the Washington Nationals winning the World Series. They are a solid team, our two teams work out of the same spring training facilites. No ounce of animosity Or jealousy from myself or all the Astros fans I know. I congratulated them on their win.",1203442387583995905,2019-12-07 22:33:18,Twitter for iPhone,0,0,0.38
@jonfeng1 @anniedineen The World Series Champion Washington Nationals play on half a street,1203435736617357313,2019-12-07 22:06:53,Twitter for iPhone,0,0,-0.16666666666666666
"Women's Arizona Diamondbacks New Era Red 2019 Stars &amp; Stripes 4th of July 9TWENTY Adjustable Hat, $22.49 with code: SINGLE - You Save: $7.50 https://t.co/envazR8xZ2 https://t.co/qZcMB9PHfm",1203435275944374272,2019-12-07 22:05:03,Hootsuite Inc.,0,0,0.021645021645021644
The ageless Fernando Rodney to reportedly play in Dominican Winter League https://t.co/EHZl8TsNPc - @NBCSWashington https://t.co/SxxNVkxf4a,1203427480385675264,2019-12-07 21:34:04,dlvr.it,1,0,0.0
How big of a priority is filling the hole at second base for the Nationals? https://t.co/eRhxfNrXPP - @NBCSWashington,1203427469727956992,2019-12-07 21:34:02,dlvr.it,0,0,-0.26666666666666666
"Men's Washington Nationals New Era Red 2019 World Series Champions Locker Room 9FORTY Adjustable Hat, $18.74 with code: SINGLE - You Save: $6.25 https://t.co/33w8tdb0jM https://t.co/ZsDuLsgblK",1203419051411853315,2019-12-07 21:00:34,Hootsuite Inc.,0,0,0.021645021645021644
Hmm.. sounds like an idea. Of course I wouldn't want to get mistaken for an Easter Island head wearing one of those outfits! https://t.co/F840sbPUlK,1203415907126710272,2019-12-07 20:48:05,Facebook,0,0,0.0
Star Wars Washington Nationals SGA Large T Shirt Baseball MLB Yoda Solo Chewie https://t.co/NSxxizZACX,1203410375229743104,2019-12-07 20:26:06,starwars app,0,0,0.21428571428571427
2019 Washington Nationals Postseason Rally Towel quilt via /r/Nationals https://t.co/74wpMaWPW1,1203409412255293442,2019-12-07 20:22:16,IFTTT,1,0,0.0
"President Trump please throw these foreign nationals out of our country. I do not believe Saudi people love this country or it’s people. Only what they can get out of the United States for free!!

Send the Democrat Washington useless crud with them!",1203405778478157825,2019-12-07 20:07:50,Twitter for iPhone,0,0,0.05500000000000001
"Game photos of when the 2019 World Series Champs, the Washington Nationals, came to Miami to play the Marlins #worldseries #baseball #mlb https://t.co/Lp9nmiAcnL",1203405236498550789,2019-12-07 20:05:41,Wheel Tweet,0,0,-0.4
"Enchant's magical lights are made to sweep you off your feet. 
Tag someone who makes you weak in the knees. 😉

📸Photo by: @VillaLiPhotography 

#EnchantChristmas #Enchant #Christmas #Xmas #holidays #friends #Nationals #DC #Washington #DCFamily #VisitDC https://t.co/ioRyUJ2tmt",1203393770936553480,2019-12-07 19:20:07,Hootsuite Inc.,0,0,0.0625
@AdamSerwer Fedoras are cool! (A Washington Nationals giveaway was a fedora and look what happened.),1203385202891993089,2019-12-07 18:46:04,Twitter for iPad,0,0,0.35
"Rosenthal, who pitched this past year in the bigs for both the Washington Nationals and then the Detroit Tigers, finished the season at Triple-A Scranton with the New York Yankees. He's battled some elbow injuries since 2017 but last year still averaged 98 mph on the FB.",1203382838470553603,2019-12-07 18:36:41,Twitter Web App,9,1,-0.03787878787878788
Just a reminder that the Washington Nationals are the current World Series Champions!!! 😁 https://t.co/8ld1TOkpOK,1203380402817241090,2019-12-07 18:27:00,Twitter for Android,0,0,0.0
"Pensacola shooting: 8 injured, 3 killed along with gunman; unclear if terrorism, officials say - The Washington Post Foreign nationals should not be allowed on military bases. https://t.co/rWDqhNgKC3",1203375960772554754,2019-12-07 18:09:21,Twitter for iPhone,0,0,-0.1416666666666667
*Reaches for an arrow* https://t.co/h03crRDPAY,1203370843629400065,2019-12-07 17:49:01,Buffer,17,0,0.0
@SportsRadioWIP If we get them both would we go by the Philadelphia Nationals or the Washington Phillies?  Hard to get excited over just taking someone else's team. #ifyoucantbeatemsignem,1203366380940255232,2019-12-07 17:31:17,Twitter for iPhone,0,0,0.04166666666666666
